X,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
2,2014,2564,10002,10028,2402,13405,1,2503704,25,2,29,2004,2008,0,0,1,1,1,17.2,26.3,14.2,A,C,A,D,B,B,C,B,C,D,A,A,A,A,A,23,A,A,B,A,A,B,B,E,A,A,5,5,6,6,5,6,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,8,8,5,5,6,6,6,5,6,6,5,6,5,8,5,5,5,D,C,I,I,A,B,D,A,A,A,C,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
3,2014,2564,10002,10028,2402,13405,1,2503704,25,2,24,2008,2009,0,0,1,1,1,71.3,65.6,73.2,A,B,A,B,B,B,D,A,A,C,A,F,D,A,A,25,A,A,A,A,B,D,B,E,E,F,6,4,6,6,6,5,6,6,6,5,6,6,6,5,6,6,5,6,3,2,4,6,6,6,6,1,1,6,6,6,6,6,2,6,6,4,6,1,1,6,6,6,A,A,I,I,A,A,D,A,B,B,B,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
4,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2007,2008,0,0,1,1,1,26.8,42.1,21.7,A,C,A,B,B,B,D,B,E,E,A,A,F,A,A,25,A,A,B,C,B,B,C,E,H,I,6,6,6,3,6,6,4,5,6,4,6,4,6,3,5,6,6,6,6,5,5,3,4,5,5,3,1,3,3,6,6,3,3,2,5,4,4,3,5,6,6,6,A,I,I,I,A,C,F,B,E,B,B,A,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
5,2014,2564,10002,10028,2402,13405,1,2503704,25,2,25,2007,2008,0,0,1,1,1,41.7,62.2,34.8,A,D,A,B,B,B,C,A,E,C,A,A,A,A,A,25,A,A,B,C,A,B,B,E,E,A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,A,B,B,D,A,A,D,B,A,B,A,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
7,2014,2564,10002,10028,2402,13405,1,2503704,25,2,23,2008,2009,0,0,1,1,1,33.5,57.3,25.6,A,C,A,B,B,B,G,B,C,C,H,F,F,A,A,23,A,A,B,C,B,C,B,E,H,A,5,4,5,5,6,6,3,6,5,6,3,6,6,5,5,6,4,5,5,5,4,4,6,6,6,3,6,6,5,5,5,4,4,4,3,4,4,4,4,6,6,6,D,C,B,C,A,B,D,C,E,B,B,B,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
8,2014,2564,10002,10028,2402,13405,1,2503704,25,2,30,2004,2009,0,0,1,1,1,29.1,47.2,23,A,C,B,A,D,B,C,A,B,A,A,A,A,A,A,25,A,A,B,A,B,D,D,E,E,A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,A,D,H,C,A,C,D,B,A,A,A,B,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
9,2014,2564,10002,10028,2402,13405,1,2503704,25,2,24,2007,2009,0,0,1,1,1,36.8,59.4,29.3,A,A,A,A,D,B,B,A,C,E,A,A,A,A,A,23,A,A,A,A,B,E,B,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,4,3,3,3,4,4,6,5,6,2,2,4,6,5,6,6,2,4,4,5,5,2,2,4,2,5,A,H,F,F,A,A,D,C,A,B,B,B,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
10,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2006,2008,0,0,1,1,1,34.5,36.4,33.9,A,C,A,A,B,B,F,B,A,A,A,F,D,A,A,25,A,A,A,B,B,C,C,E,H,A,4,4,5,6,7,4,5,7,6,5,1,1,5,1,1,6,3,7,6,4,4,7,3,6,6,7,7,3,3,7,2,6,2,5,3,1,4,1,1,2,2,1,C,J,I,I,A,A,D,B,E,B,C,B,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
11,2014,2564,10002,10028,2402,13405,1,2503704,25,2,28,2004,2008,0,0,1,1,1,37.6,36.4,38,A,A,A,B,B,B,D,A,B,A,A,A,A,A,A,25,A,A,A,G,A,B,B,E,H,A,6,6,6,5,5,6,6,6,6,6,5,5,3,3,2,5,6,5,6,6,4,4,6,6,6,8,8,6,4,5,5,4,2,3,2,1,1,1,2,2,5,1,A,D,I,I,A,A,C,E,A,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
12,2014,2564,10002,10028,2402,13405,1,2503704,25,2,41,1993,2009,0,0,1,1,1,35.2,80.3,20.2,C,B,A,A,B,B,E,A,B,B,A,A,C,A,E,25,A,C,B,E,A,D,B,E,A,A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,5,1,1,6,6,6,6,6,4,6,3,3,3,3,6,6,6,5,A,A,B,B,A,A,D,D,C,B,B,C,C,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
13,2014,2564,10002,10028,2402,13405,1,2503704,25,2,31,2001,2008,0,0,1,1,1,34.9,48.8,30.3,A,C,A,A,A,B,C,B,E,E,A,A,A,A,A,23,A,A,F,E,A,D,B,A,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,B,E,I,I,A,B,D,A,A,A,B,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
14,2014,2564,10002,10028,2402,13405,1,2503704,25,2,28,2007,2008,0,0,1,1,1,33.7,47.3,29.1,A,C,A,A,B,B,H,B,E,D,A,A,A,A,A,25,A,A,D,C,B,D,C,A,H,F,5,6,5,6,6,6,6,6,6,6,6,5,6,3,5,5,5,6,6,6,5,6,5,6,5,4,8,4,5,5,6,5,5,6,5,5,5,5,5,6,5,6,A,C,B,D,A,A,C,E,A,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
15,2014,2564,10002,10028,2402,13405,1,2503704,25,2,37,1999,2008,0,0,1,1,1,35,78.7,20.4,A,A,A,B,B,B,C,A,C,E,A,A,A,A,A,23,A,A,F,A,B,C,B,E,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,8,8,8,8,6,6,6,6,6,8,8,6,6,6,6,6,8,6,6,6,6,8,6,6,6,6,B,C,I,I,A,B,C,A,A,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
16,2014,2564,10002,10028,2402,13405,1,2503704,25,2,33,2001,2009,0,0,1,1,1,59.2,64.7,57.4,A,A,A,B,B,B,E,B,C,D,A,A,A,A,A,25,A,A,B,C,B,C,C,E,H,F,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,8,6,8,4,5,5,6,6,1,1,8,6,6,6,4,5,4,6,6,8,5,8,6,4,6,A,J,E,A,A,A,C,B,A,B,B,C,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
17,2014,2564,10002,10028,2402,13405,1,2503704,25,2,24,2009,2010,1,0,0,1,1,47.7,66.2,41.5,A,C,A,B,B,B,G,A,A,B,A,C,F,A,F,25,A,C,F,A,B,B,B,E,H,A,6,5,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,5,6,5,6,5,6,6,6,2,2,6,6,6,6,6,5,6,6,6,5,6,6,5,5,5,B,E,B,C,A,A,C,B,E,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
18,2014,2564,10002,10028,2402,13405,1,2503704,25,2,23,2008,2010,1,0,0,1,1,39.2,48.4,36.1,A,C,A,B,C,B,C,B,A,A,A,A,F,A,A,25,A,A,C,G,A,D,D,E,H,A,5,5,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,5,5,6,6,6,4,3,5,5,5,5,6,6,6,6,5,5,5,5,6,5,5,C,F,I,I,A,A,D,B,E,C,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
19,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2007,2008,0,0,1,1,1,25.7,30,24.3,A,C,A,D,B,B,E,B,B,A,A,A,A,A,E,25,A,A,B,C,B,C,B,E,A,A,5,6,6,5,4,6,6,4,6,6,6,5,6,4,6,6,6,6,6,4,5,5,6,6,5,8,8,6,6,5,6,4,5,5,7,7,7,3,8,5,5,4,A,B,H,D,A,B,D,B,A,A,B,A,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
20,2014,2564,10002,10028,2402,13405,1,2503704,25,2,22,2009,2010,1,0,0,1,1,19.9,47.8,10.6,A,A,A,B,B,B,E,A,B,A,A,A,F,A,A,25,A,A,B,C,A,E,B,E,E,A,4,6,8,6,6,6,6,6,6,5,5,4,5,3,6,6,6,6,6,6,6,4,5,3,6,8,2,2,4,5,4,4,5,6,5,6,4,4,4,5,4,4,A,C,I,I,A,A,D,A,A,B,B,D,C,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
21,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2005,2007,0,0,1,1,1,26.5,61.8,14.7,A,A,A,E,C,B,C,C,E,D,B,A,A,A,A,25,A,A,B,C,A,B,B,A,A,A,5,5,5,5,6,5,6,6,6,5,5,5,6,5,5,6,5,4,5,4,5,4,5,4,6,1,1,5,6,3,5,5,5,5,6,5,5,5,6,5,5,6,D,E,I,I,A,C,F,A,E,B,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
22,2014,2564,10002,10028,2402,13405,1,2503704,25,2,28,2006,2008,0,0,1,1,1,36.2,54.4,30.1,A,A,A,B,B,B,E,B,E,C,A,A,A,A,A,25,A,A,D,C,B,C,B,A,E,F,6,5,4,4,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,1,1,3,5,4,5,4,5,5,5,4,3,3,5,4,5,4,B,J,B,B,A,C,D,A,A,C,B,B,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
23,2014,2564,10002,10028,2402,13405,1,2503704,25,2,25,2007,2008,0,0,1,1,1,53.7,49.5,55.1,A,C,A,B,D,B,E,A,B,A,A,A,A,A,A,25,A,A,B,C,B,C,B,E,H,A,5,6,5,6,6,5,6,6,6,5,5,5,5,4,4,6,3,3,5,2,4,4,5,6,6,7,7,4,4,4,5,4,4,4,4,4,5,4,1,5,3,2,D,C,B,C,A,A,D,B,A,B,B,A,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
24,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2007,2009,0,0,1,1,1,40,59.7,33.4,A,C,A,B,A,B,D,B,B,A,A,A,A,A,A,23,A,A,B,H,B,E,C,E,E,A,4,5,4,6,5,5,5,4,5,6,5,2,4,3,3,4,4,4,4,4,3,2,3,6,1,1,1,3,3,4,5,4,2,5,6,3,3,1,6,5,4,4,A,A,I,I,A,B,D,C,A,B,B,C,C,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
26,2014,2564,10002,10028,2402,13405,1,2503704,25,2,29,2004,2007,0,0,1,1,1,21.2,33.1,17.2,A,C,A,A,C,B,E,A,E,E,A,F,F,A,A,25,A,A,B,C,B,C,B,E,H,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,A,C,I,I,A,C,F,C,A,A,A,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
27,2014,2564,10002,10028,2402,13405,1,2503704,25,2,25,2006,2009,1,0,0,1,1,24.2,52,14.9,B,C,A,C,D,C,G,C,F,D,A,A,A,A,A,25,A,A,B,C,A,B,B,A,H,F,6,6,6,6,5,5,6,6,5,5,3,6,6,3,6,6,5,5,6,5,4,3,5,6,6,1,1,2,5,2,4,5,2,4,2,7,7,6,1,6,4,5,C,F,I,I,A,A,D,A,E,C,C,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
28,2014,2564,10002,10028,2402,13405,1,2503704,25,2,22,2009,2010,1,0,0,1,1,33.9,52,27.8,A,C,A,A,B,B,D,A,B,A,A,F,A,A,A,25,A,A,A,A,B,C,E,E,A,A,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,8,6,6,6,6,6,6,7,7,7,6,6,3,3,5,4,6,5,5,5,4,7,6,4,7,A,J,I,I,A,A,D,B,E,B,B,D,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
29,2014,2564,10002,10028,2402,13405,1,2503704,25,2,32,2001,2007,0,0,1,1,1,40.4,69.8,30.6,A,C,A,C,C,B,B,C,E,E,A,A,A,A,A,25,A,B,A,B,B,B,B,E,H,A,4,4,6,6,4,6,6,6,6,6,4,4,5,4,6,5,6,6,6,8,3,2,4,6,6,7,7,3,3,6,5,4,6,8,6,7,7,4,8,8,7,6,C,J,I,I,A,A,B,A,E,B,C,D,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
30,2014,2564,10002,10028,2402,13405,1,2503704,25,2,32,2002,2007,0,0,1,1,1,44,77.7,32.8,B,A,A,B,B,C,D,A,F,E,A,A,A,A,A,25,A,A,B,C,A,B,C,A,A,F,5,4,5,5,5,5,5,4,4,4,3,3,3,1,2,5,6,5,4,4,5,5,5,6,6,3,3,3,5,1,3,5,4,4,4,4,5,5,5,5,3,5,B,E,I,I,A,C,D,A,A,B,C,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
31,2014,2564,10002,10028,2402,13405,1,2503704,25,2,29,2008,2008,0,0,1,1,1,37.6,55.5,31.6,A,A,A,D,C,B,G,B,D,E,A,A,A,A,A,25,A,A,B,G,B,E,B,E,H,F,6,6,6,5,6,4,6,6,6,6,5,5,6,7,5,6,6,5,8,8,5,6,6,5,6,1,1,2,6,6,6,4,6,6,6,6,6,1,4,6,3,6,D,J,I,I,A,C,D,B,E,C,B,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
32,2014,2564,10002,10028,2402,13405,1,2503704,25,2,23,2005,2010,1,0,0,1,1,59.2,76.4,53.5,A,A,A,B,D,D,B,B,B,B,A,A,B,A,A,25,A,A,B,C,B,E,E,A,H,A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,A,C,F,C,A,B,D,A,A,B,C,C,C,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
33,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2006,2009,1,0,0,1,1,35.5,39.5,34.1,B,C,A,E,B,C,D,A,B,A,H,A,F,A,A,25,A,A,B,A,B,C,B,E,E,A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,8,8,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,C,A,I,I,A,A,B,A,A,B,B,B,D,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
34,2014,2564,10002,10028,2402,13405,1,2503704,25,2,31,2004,2009,0,0,1,1,1,58.1,47.7,61.5,A,A,A,B,B,B,D,A,C,D,A,A,A,A,A,25,A,A,B,G,A,C,B,E,A,F,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,3,4,4,4,6,6,6,6,6,2,2,6,5,4,5,5,5,4,6,5,5,4,5,5,5,5,D,A,H,D,A,C,D,A,A,B,B,B,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
35,2014,2564,10002,10028,2402,13405,1,2503704,25,2,25,2008,2009,0,0,1,1,1,30.5,55.5,22.2,A,C,A,C,B,C,E,B,F,E,H,E,F,A,A,25,A,A,B,C,B,C,C,E,H,A,6,5,5,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,4,6,5,6,6,6,1,1,4,5,6,6,6,4,5,6,5,5,2,2,4,5,5,A,C,H,B,A,C,D,A,A,B,A,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
36,2014,2564,10002,10028,2402,13405,1,2503704,25,2,26,2006,2009,1,0,0,1,1,61.4,65.5,60,A,A,A,C,D,B,E,A,B,A,A,A,F,A,A,25,A,A,A,G,B,B,C,E,H,A,5,5,6,4,5,4,6,4,6,5,5,6,5,4,6,5,6,6,6,4,4,4,4,5,5,8,8,8,8,5,6,4,4,5,4,4,4,4,8,5,4,5,D,F,I,I,A,B,D,A,E,C,B,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
37,2014,2564,10002,10028,2402,13405,1,2503704,25,2,27,2009,2009,0,0,1,1,1,53.9,74.1,47.2,B,A,A,C,A,C,D,A,F,E,A,A,A,A,A,25,A,C,D,G,B,E,E,E,H,A,3,4,5,3,4,4,6,5,5,4,3,3,4,2,2,6,5,2,3,2,3,4,4,6,5,1,1,4,4,4,4,5,1,3,2,2,1,5,1,5,5,3,A,B,H,C,A,C,D,E,A,C,C,B,B,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
38,2014,2564,10002,10028,2402,13405,1,2503704,25,2,28,2006,2009,0,0,1,1,1,51.6,66.3,46.7,A,A,A,B,B,B,D,A,D,E,A,A,A,A,A,25,A,A,B,C,A,D,D,E,E,A,6,6,6,6,6,5,5,6,5,6,6,5,5,6,6,6,6,5,4,5,6,5,5,5,8,6,6,6,6,6,6,5,5,5,5,6,5,6,6,6,5,6,A,A,I,I,A,C,C,B,A,A,A,A,A,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
